model_id,dataset_id,batching,batch_size,iteration,latency_ms,images_per_second,text_length_mean,text_length_max,generated_tokens_mean,generated_tokens_max
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,16,2,286.4417,55.8578,18.375,20,8.25,11
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,16,3,224.6863,71.2104,13.5625,16,6.3125,8
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,16,4,142.7486,112.0852,5.0,5,2.875,4
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,16,5,224.9242,71.1351,13.25,14,6.25,8
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,16,6,124.1368,128.8901,4.8125,5,2.75,3
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,16,7,124.9783,128.0222,3.8125,4,2.5625,3
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,16,8,104.107,153.688,1.875,3,1.125,2
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,16,9,205.5922,77.824,9.75,11,5.0,7
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,16,10,122.0995,131.0407,3.875,4,2.5,3
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,16,11,143.7624,111.2948,5.3125,6,2.8125,4
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,16,12,203.8343,78.4951,13.4375,15,5.875,7
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,16,13,127.8243,125.1718,4.0,4,2.625,3
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,16,14,203.3262,78.6913,11.8125,13,5.625,7
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,16,15,168.8749,94.7447,6.125,7,2.9375,5
