model_id,dataset_id,batch_size,iteration,latency_ms,images_per_second,text_length_mean,text_length_max,generated_tokens_mean,generated_tokens_max
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,16,46,488.1111,32.7794,11.1875,40,5.5,20
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,16,47,328.6827,48.6792,12.25,27,5.3125,13
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,16,48,330.3694,48.4306,10.9375,24,5.5625,13
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,16,49,380.1448,42.0892,9.5,31,4.375,15
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,0,969.296,33.0137,10.875,38,5.125,23
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,1,841.2076,38.0406,11.0,40,5.2812,20
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,2,972.5376,32.9036,8.125,44,4.0938,23
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,3,970.1526,32.9845,10.4375,38,4.9688,23
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,4,765.4133,41.8075,13.4375,39,6.2812,18
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,5,805.1366,39.7448,13.625,35,6.4688,19
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,6,693.7047,46.1291,11.1875,35,5.5,16
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,7,849.6184,37.664,10.3125,39,5.4062,20
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,8,576.5665,55.501,13.25,27,6.0312,13
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,9,695.285,46.0243,11.375,37,5.4062,16
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,10,616.4307,51.9118,8.9062,32,4.5938,14
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,11,728.1155,43.9491,9.4062,39,4.6562,17
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,12,732.061,43.7122,11.875,39,5.4062,17
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,13,968.8154,33.03,9.9062,44,4.9375,23
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,14,969.2798,33.0142,16.4062,44,7.3438,23
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,15,727.5022,43.9861,9.25,32,4.875,17
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,16,968.5503,33.0391,13.0,44,6.2188,23
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,17,653.717,48.9508,12.4688,30,6.0312,15
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,18,809.5844,39.5265,8.25,33,4.4688,19
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,19,808.383,39.5852,14.3438,35,6.8125,19
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,20,615.9925,51.9487,9.875,32,4.5938,14
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,21,807.1621,39.6451,10.4688,33,5.5,19
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,22,847.0081,37.78,13.6562,41,6.1562,20
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,23,767.7394,41.6808,10.3125,36,4.9375,18
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,24,805.9473,39.7048,9.75,33,5.125,19
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,25,578.0307,55.3604,7.6875,34,3.7812,13
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,26,771.6145,41.4715,11.8125,37,5.5,18
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,27,727.2741,43.9999,12.3125,34,5.8125,17
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,28,765.4766,41.804,8.625,36,4.3125,18
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,29,691.6424,46.2667,12.1875,41,5.5625,16
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,30,843.6154,37.932,11.9688,39,5.7188,20
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,31,691.9937,46.2432,13.0625,37,6.0625,16
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,32,846.6586,37.7956,11.6875,39,5.5,20
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,33,805.1729,39.743,10.9375,33,5.9375,19
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,34,652.2179,49.0634,10.375,32,5.0312,15
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,35,845.798,37.8341,11.6562,41,5.1875,20
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,36,970.7802,32.9632,13.5625,40,6.3125,23
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,37,690.2841,46.3577,9.375,29,4.875,16
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,38,581.4615,55.0337,11.0625,26,5.25,13
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,39,768.3732,41.6464,14.6875,39,6.7812,18
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,40,807.5394,39.6266,12.4062,41,6.0312,19
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,41,693.5342,46.1405,11.7188,28,5.6562,16
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,42,614.2937,52.0923,9.25,31,4.5938,14
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,43,577.6654,55.3954,9.0938,31,4.375,13
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,44,578.0155,55.3618,9.4688,29,4.5312,13
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,45,850.7444,37.6141,10.4375,40,5.125,20
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,46,967.6396,33.0702,13.5938,44,6.4375,23
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,47,808.5587,39.5766,10.9062,34,5.1562,19
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,48,768.2455,41.6534,12.9688,38,6.0,18
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,32,49,972.3707,32.9093,12.2812,38,6.2812,23
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,64,0,1357.6963,47.1387,10.6719,37,5.1094,18
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,64,1,1354.2323,47.2592,11.8438,39,5.4688,18
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,64,2,1429.8135,44.7611,11.2812,35,5.2188,19
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,64,3,1355.5411,47.2136,9.9844,38,4.7969,18
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,64,4,1424.1918,44.9378,13.1875,39,6.4219,19
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,64,5,1424.0819,44.9412,10.2344,33,4.9531,19
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,64,6,1722.5847,37.1535,11.3594,44,5.7812,23
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,64,7,1719.8674,37.2122,11.75,38,5.7031,23
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,64,8,1017.3049,62.9113,8.7656,30,4.3438,13
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,64,9,1355.7245,47.2072,11.125,36,5.2656,18
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,64,10,1357.8334,47.1339,10.0469,32,4.4844,18
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,64,11,1217.0362,52.5868,10.6094,33,4.9062,16
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,64,12,1426.6603,44.86,11.25,37,5.5625,19
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,64,13,1720.7516,37.193,12.0938,44,5.7969,23
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,64,14,1430.7107,44.733,10.2812,34,4.7656,19
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,64,15,1216.2996,52.6186,10.3594,41,5.1875,16
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,64,16,1719.6035,37.2179,9.0781,44,4.5469,23
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,64,17,1286.1263,49.7618,10.3125,39,4.7812,17
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,64,18,1501.2656,42.6307,11.0,40,5.3906,20
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,64,19,1358.3628,47.1155,8.4844,36,4.3906,18
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,64,20,1716.6709,37.2815,10.8438,38,5.5156,23
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,64,21,1354.4186,47.2527,10.3438,41,4.8281,18
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,64,22,1085.5052,58.9587,9.8125,35,4.7188,14
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,64,23,1289.7684,49.6213,12.0625,39,5.6406,17
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,64,24,1719.0983,37.2288,10.3125,38,5.1406,23
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,64,25,1722.2836,37.16,11.1875,38,5.6875,23
